,movie,year,imdb,metascore,votes
0,Gladiator,(2000),8.5,67,1231537
1,Memento,(2000),8.4,80,1043649
2,Snatch,(2000),8.3,55,728155
3,Requiem for a Dream,(2000),8.3,68,709878
4,X-Men,(2000),7.4,64,542859
5,Cast Away,(2000),7.8,73,479554
6,American Psycho,(2000),7.6,64,438642
7,Unbreakable,(2000),7.3,62,359398
8,Meet the Parents,(2000),7.0,73,295381
9,Mission: Impossible II,(2000),6.1,59,294557
10,"O Brother, Where Art Thou?",(2000),7.7,69,267422
11,Gone in 60 Seconds,(2000),6.5,35,248178
12,"Crouching Tiger, Hidden Dragon",(2000),7.8,93,241933
13,The Patriot,(2000),7.2,63,240016
14,Almost Famous,(2000),7.9,90,237156
15,Scary Movie,(2000),6.2,48,217253
16,Pitch Black,(2000),7.1,49,215676
17,Final Destination,(2000),6.7,36,213970
18,"Me, Myself & Irene",(2000),6.6,49,211600
19,The Beach,(I) (2000),6.7,43,210697
20,Amores Perros,(2000),8.1,83,209078
21,Traffic,(2000),7.6,86,187428
22,Remember the Titans,(2000),7.8,48,186111
23,How the Grinch Stole Christmas,(2000),6.1,46,185243
24,What Women Want,(2000),6.4,47,182150
25,Miss Congeniality,(2000),6.2,43,172368
26,Chocolat,(2000),7.2,64,169627
27,Chicken Run,(2000),7.0,88,165943
28,Charlie's Angels,(2000),5.5,52,165106
29,The Emperor's New Groove,(2000),7.3,70,164316
30,Erin Brockovich,(2000),7.3,73,160999
31,Battle Royale,(2000),7.6,81,160602
32,High Fidelity,(2000),7.5,79,159628
33,Road Trip,(2000),6.4,55,149744
34,The Perfect Storm,(2000),6.4,59,148347
35,"Dude, Where's My Car?",(2000),5.5,30,129480
36,Billy Elliot,(2000),7.7,74,116997
37,Hollow Man,(2000),5.8,24,115943
38,Scream 3,(2000),5.5,56,115652
39,Shanghai Noon,(2000),6.5,77,113041
40,The 6th Day,(2000),5.9,49,111516
41,What Lies Beneath,(2000),6.6,51,111329
42,In the Mood for Love,(2000),8.1,85,108031
43,Pay It Forward,(2000),7.2,40,107967
44,The Whole Nine Yards,(2000),6.7,47,103939
45,Coyote Ugly,(2000),5.7,27,101797
46,Men of Honor,(2000),7.2,56,101775
47,The Family Man,(2000),6.8,42,97711
48,Frequency,(2000),7.3,67,95522
49,Gladiator,(2000),8.5,67,1231537
50,Memento,(2000),8.4,80,1043649
51,Snatch,(2000),8.3,55,728155
52,Requiem for a Dream,(2000),8.3,68,709878
53,X-Men,(2000),7.4,64,542859
54,Cast Away,(2000),7.8,73,479554
55,American Psycho,(2000),7.6,64,438642
56,Unbreakable,(2000),7.3,62,359398
57,Meet the Parents,(2000),7.0,73,295381
58,Mission: Impossible II,(2000),6.1,59,294557
59,"O Brother, Where Art Thou?",(2000),7.7,69,267422
60,Gone in 60 Seconds,(2000),6.5,35,248178
61,"Crouching Tiger, Hidden Dragon",(2000),7.8,93,241933
62,The Patriot,(2000),7.2,63,240016
63,Almost Famous,(2000),7.9,90,237156
64,Scary Movie,(2000),6.2,48,217253
65,Pitch Black,(2000),7.1,49,215676
66,Final Destination,(2000),6.7,36,213970
67,"Me, Myself & Irene",(2000),6.6,49,211600
68,The Beach,(I) (2000),6.7,43,210697
69,Amores Perros,(2000),8.1,83,209078
70,Traffic,(2000),7.6,86,187428
71,Remember the Titans,(2000),7.8,48,186111
72,How the Grinch Stole Christmas,(2000),6.1,46,185243
73,What Women Want,(2000),6.4,47,182150
74,Miss Congeniality,(2000),6.2,43,172368
75,Chocolat,(2000),7.2,64,169627
76,Chicken Run,(2000),7.0,88,165943
77,Charlie's Angels,(2000),5.5,52,165106
78,The Emperor's New Groove,(2000),7.3,70,164316
79,Erin Brockovich,(2000),7.3,73,160999
80,Battle Royale,(2000),7.6,81,160602
81,High Fidelity,(2000),7.5,79,159628
82,Road Trip,(2000),6.4,55,149744
83,The Perfect Storm,(2000),6.4,59,148347
84,"Dude, Where's My Car?",(2000),5.5,30,129480
85,Billy Elliot,(2000),7.7,74,116997
86,Hollow Man,(2000),5.8,24,115943
87,Scream 3,(2000),5.5,56,115652
88,Shanghai Noon,(2000),6.5,77,113041
89,The 6th Day,(2000),5.9,49,111516
90,What Lies Beneath,(2000),6.6,51,111329
91,In the Mood for Love,(2000),8.1,85,108031
92,Pay It Forward,(2000),7.2,40,107967
93,The Whole Nine Yards,(2000),6.7,47,103939
94,Coyote Ugly,(2000),5.7,27,101797
95,Men of Honor,(2000),7.2,56,101775
96,The Family Man,(2000),6.8,42,97711
97,Frequency,(2000),7.3,67,95522
98,Gladiator,(2000),8.5,67,1231537
99,Memento,(2000),8.4,80,1043649
100,Snatch,(2000),8.3,55,728155
